Ticker, CompanyName, MarketCap, PERatio, TrailingPE, ForwardPE, DividendPerShare, DividendYield, GrossProfitTTM, RevenueTTM, AnalystTargetPrice 
TIL, Instil Bio Inc., None, None, 0, 0, None, None, 0, 0, None 
VCEL, Vericel Corporation, 2733403392, 991.3334, 991.3334, 250, None, 0, 84228000, 124179000, 58.71 
SM, SM Energy Company, 2106663168, 19.6, 19.6, 76.9231, 0.02, 0.0012, 754265000, 1080482048, 15.29 
MP, MP Materials Corp, 7851596800, None, 0, 0, None, None, 36350000, 134310000, 42.25 
RAAS, Cloopen Group Holding Limited, 3634875136, None, 0, 0, None, None, 267413824, 0, 25.21 
OCDX, Ortho Clinical Diagnostics Holdings plc, 4373261824, None, 0, 31.9489, None, None, 858000000, 1766200064, 24.11 
IGMS, IGM Biosciences Inc, 2908076032, 6.3981, 6.3981, 0, None, 0, -22649000, 0, 98.63 
SI, Silvergate Capital Corporation, 3767433728, 117.9118, 117.9118, 60.6061, None, None, 89874000, 89874000, 121.67 
PD, PagerDuty Inc, 3373992704, None, 0, 0, None, 0, 182870000, 213556000, 48.82 
RRC, Range Resources Corporation, 2712409856, None, 0, 8.7566, 0.02, 0.0021, 394706000, 1780985984, 11.14 
IRTC, iRhythm Technologies Inc, 4162690048, None, 0, 0, None, 0, 194889000, 265166000, 216.83 
SWN, Southwestern Energy Company, 3068779520, 1.0727, 1.0727, 4.9092, None, 0, 549000000, 2308000000, 4.72 
CLNE, Clean Energy Fuels Corp, 3119816448, 81.3773, 81.3773, 303.0303, None, 0, 106314000, 291724000, 20 
DCPH, Deciphera Pharmaceuticals Inc, 2662892800, None, 0, 0, None, 0, -157108000, 42087000, 75 
CCXI, ChemoCentryx Inc, 4045924608, None, 0, 0, None, 0, -12991000, 64891000, 88.88 
TPL, Texas Pacific Land Corporation, 12995057664, 73.8149, 73.8149, 54.9451, 10, 0.0065, 284025000, 302231008, 1340.5 
MVIS, MicroVision Inc, 2729623552, None, 0, 0, None, 0, 1692000, 3090000, 0.25 
SEER, Seer Inc, 3205142016, None, 0, 0, None, None, -12277000, 378000, 69.67 
EXPI, eXp World Holdings Inc, 7208213504, 246.3333, 246.3333, 0, None, 0, 159611000, 1798285056, 71 
DM, Desktop Metal Inc, 5128539648, None, 0, 0, None, None, -15049000, 16470000, 28 
MTDR, Matador Resources Company, 2844395520, 4.3737, 4.3737, 6.9979, 0.1, 0.0044, 610211000, 797734976, 23.43 
NFE, New Fortress Energy Inc, 9149868032, None, 0, 49.505, 0.2, 0.0041, 160500000, 448064000, 61.7 
GRWG, GrowGeneration Corp, 2998114816, 720.7895, 720.7895, 138.8889, None, 0, 22561847, 156825296, 56.43 
RUN, Sunrun Inc, 11259619328, 894, 894, 85.4701, None, 0, 186365000, 922190976, 81.65 
TV, Grupo Televisa S.A.B, 5566946816, 18, 18, 17.8571, 0.018, 0.0019, 40371979000, 0, 8.71 
CERE, Cerevel Therapeutics Holdings Inc, 2183990272, None, 0, 0, None, None, 0, 0, 22.33 
ROOT, Root Inc, 3020340224, None, 0, 0, None, None, -16000000, 346800000, 20.08 
MGNI, Magnite Inc, 5857087488, None, 0, 0, None, None, 143881000, 221628000, 58.14 
TNDM, Tandem Diabetes Care Inc, 5606680576, None, 0, 1111.1111, None, 0, 260520000, 498830016, 127.67 
YALA, Yalla Group Limited, 3980361728, 53.4093, 53.4093, 39.6825, None, None, 73656523, 134927408, 22.67 
BGNE, BeiGene Ltd, 29693970432, None, 0, 0, None, 0, -1056660000, 308873984, 346.22 
XPEV, XPeng Inc, 26730022912, None, 0, 0, None, None, 265989000, 0, 52 
CVAC, CureVac N.V, 17876359168, None, 0, 10.6838, None, None, -10400000, 0, 83.98 
VERX, Vertex Inc, 3844154880, None, 0, 0, None, None, 209278000, 374664992, 29.75 
MUR, Murphy Oil Corporation, 2829293824, 20.3846, 20.3846, 63.2911, 0.625, 0.0363, 1197933000, 1751709056, 18.91 
BOX, Box Inc, 3607837184, None, 0, 28.2486, None, 0, 546032000, 676392000, 23.86 
TME, Tencent Music Entertainment Group, 51030462464, 93.8889, 93.8889, 44.6429, None, 0, 8673000000, 0, 23.88 
BBIO, BridgeBio Pharma Inc, 10078363648, None, 0, 0, None, 0, 8249000, 8249000, 81.67 
TGTX, TG Therapeutics Inc, 6903475712, None, 0, 0, None, 0, 152000, 152000, 75.33 
CHWY, Chewy Inc, 34055757824, None, 0, 1111.1111, None, 0, 1144060000, 6457777152, 100.92 
LDI, loanDepot Inc, 2735195904, 1.3587, 1.3587, 6.6313, None, None, 4356720000, 4563184128, 23.6 
CVCO, Cavco Industries Inc, 2119914368, 33.7559, 33.7559, 0, None, 0, 210586000, 1056883968, 234 
NAVI, Navient Corporation, 2528702720, 6.4906, 6.4906, 4.1102, 0.64, 0.0495, 1533000000, 1532999936, 13.58 
CPG, Crescent Point Energy Corp, 2303510016, None, 0, 6.7797, 0.271, 0.0659, 812900000, 0, 8.85 
RH, RH, 10519165952, 64.3467, 64.3467, 25.0627, None, 0, 1096539000, 2701166080, 521.27 
DEN, Denbury Inc, 2079999872, None, 0, 18.5874, None, None, 328186000, 750712000, 47.5 
MSTR, MicroStrategy Incorporated, 7449497600, 3117.7273, 3117.7273, 45.6621, None, 0, 389680000, 480735008, 325 
CNX, CNX Resources Corporation, 3295605248, 5.474, 5.474, 0, None, 0, 634496000, 1085683968, 16.23 
BPMC, Blueprint Medicines Corporation, 6065263104, 18.7209, 18.7209, 0, None, 0, 466450000, 793734976, 117.08 
CSIQ, Canadian Solar Inc, 2682264576, 19.0882, 19.0882, 0, None, 0, 689914000, 3476495104, 51 
ZIM, ZIM Integrated Shipping Services Ltd, 3234625024, None, 0, 0, None, None, 489068000, 3458141952, 26.24 
AMWL, American Well Corporation, 4828345856, None, 0, 0, None, None, 68881000, 229864992, 35.11 
AMRS, Amyris Inc, 5494814208, None, 0, 0, None, 0, 14849000, 173136992, 26.6 
AR, Antero Resources Corporation, 2954674176, 28.0952, 0, 9.3197, None, 0, 1689613000, 3397274112, 11.14 
NTLA, Intellia Therapeutics Inc, 4449617920, None, 0, 0, None, 0, -92414000, 57994000, 78.46 
OXY, Occidental Petroleum Corporation, 26176696320, 23.9678, 0, 43.29, 0.82, 0.0308, 9341000000, 17809000448, 27.18 
RPD, Rapid7 Inc, 4033754880, None, 0, 10000, None, 0, 289969000, 411486016, 102.46 
PDCE, PDC Energy Inc, 3515294976, 10.5231, 10.5231, 7.4571, None, 0, 860407000, 1099587968, 44.17 
NTCO, Natura &Co Holding S.A, 12621876224, 195.9671, 195.9671, 90.9091, None, None, 23692265000, 0, 15.99 
PRO, PROS Holdings Inc, 2050753152, None, 0, 0, None, 0, 147791000, 252424000, 46.38 
SMTC, Semtech Corporation, 4720539648, 79.8022, 79.8022, 34.4828, None, 0, 363549000, 595116992, 83.67 
STAA, STAAR Surgical Company, 4501428736, 805.5833, 805.5833, 285.7143, None, 0, 119562000, 163460000, 119 
